Node_Name,Incoming_Edges,Outgoing_Edges,Total_Edges
TNFSF13,2,10,12
MC3R,3,9,12
IL1RL1,5,7,12
MEIS1,9,3,12
GRK3,1,11,12
EHMT2,2,10,12
RAPGEF1,7,5,12
SFN,8,4,12
GNB1,5,7,12
RARG,9,3,12
CHD8,0,12,12
HMGN1,8,4,12
THY1,8,4,12
KDM5A,8,4,12
CCN1,1,11,12
KLF6,3,9,12
CD5,10,2,12
SSH1,8,4,12
WNT2,2,10,12
DKK1,6,6,12
CUL1,4,8,12
ATG5,11,1,12
SSTR2,4,8,12
CD9,8,4,12
MARK1,8,4,12
NBN,11,1,12
SET,9,3,12
CUL3,6,6,12
TLR9,6,6,12
FMR1,9,3,12
NF2,7,5,12
MAP4,11,1,12
ATG7,4,8,12
ADCYAP1,2,10,12
CYLD,6,6,12
LAMB1,2,10,12
UHRF1,8,4,12
RNF8,3,9,12
MAG,12,0,12
AVP,0,12,12
MCM2,12,0,12
GRIA1,12,0,12
NEFH,12,0,12
NR2F6,6,6,12
CDK5R1,10,2,12
NR1D1,9,3,12
PRKD3,1,11,12
IL10RA,6,6,12
IGFBP1,12,0,12
SIAH1,7,5,12
SLC9A3R1,5,7,12
IL10RB,7,5,12
SIRT7,2,10,12
FOXP2,2,10,12
STXBP1,11,1,12
TFDP1,4,8,12
TRIM25,3,9,12
NAB2,7,5,12
SH3BP2,10,2,12
SKI,5,7,12
SMARCE1,1,11,12
TACR1,3,9,12
SNW1,8,4,12
EIF4G1,11,1,12
KCNH2,11,1,12
ADAM9,5,7,12
CTLA4,8,4,12
SFPQ,7,5,12
SIN3A,10,2,12
SMARCB1,1,11,12
FSHB,3,9,12
DAPK2,6,6,12
PIP5K1C,9,3,12
RANBP2,8,4,12
CD151,12,0,12
PDHA1,12,0,12
PLCE1,8,3,11
CSF2RB,11,0,11
ABLIM1,11,0,11
SH2B1,5,6,11
LPAR3,1,10,11
ADCY1,10,1,11
E2F2,2,9,11
DBP,6,5,11
PAK6,5,6,11
RAD23B,4,7,11
SST,3,8,11
BCL10,8,3,11
PLK2,3,8,11
TNFRSF17,2,9,11
CENPE,8,3,11
SATB1,3,8,11
PHLPP1,3,8,11
GDF15,9,2,11
TRIM27,2,9,11
CLOCK,3,8,11
PPP1R15A,9,2,11
GFPT1,9,2,11
IAPP,2,9,11
GNB5,6,5,11
FOXP1,1,10,11
HP,3,8,11
MAD2L1,9,2,11
PTPRO,2,9,11
PCLO,11,0,11
SRRM1,11,0,11
ERCC6,5,6,11
COL3A1,6,5,11
SRSF2,10,1,11
EIF2B5,9,2,11
COL4A1,4,7,11
PCK2,11,0,11
PRMT5,4,7,11
NFYA,6,5,11
H2AZ1,11,0,11
RAD9A,10,1,11
CD86,8,3,11
HCRTR1,3,8,11
GDF5,2,9,11
OXTR,4,7,11
SUV39H1,6,5,11
KHDRBS1,9,2,11
CDC14B,0,11,11
IL24,1,10,11
BTC,1,10,11
KDM5C,6,5,11
PKN2,9,2,11
NR3C2,8,3,11
CCL4,6,5,11
BSN,11,0,11
NR1H4,9,2,11
MMP7,2,9,11
DHX9,4,7,11
IFT57,1,10,11
IFNGR1,6,5,11
BLNK,7,4,11
SLIT2,1,10,11
FEN1,11,0,11
CBLC,8,3,11
CAMKK1,4,7,11
TERF2,7,4,11
XPA,8,3,11
BAIAP2,8,3,11
RAP1GAP,9,2,11
MYH9,10,1,11
WNT8A,4,7,11
SMARCC1,10,1,11
KCND2,11,0,11
XRCC6,7,4,11
HLA-A,8,3,11
PYCARD,8,3,11
FGB,1,10,11
MFGE8,1,10,11
DRD1,3,8,11
AMBRA1,7,4,11
ALPL,8,3,11
RYK,6,5,11
ZNRF3,5,6,11
CCL13,3,8,11
SRSF1,11,0,11
MSTN,7,4,11
TBP,9,2,11
CHRM1,3,8,11
EPHA7,9,2,11
TRPV6,10,1,11
PLXNA2,10,1,11
MAPK4,7,4,11
TSHB,2,9,11
CYP19A1,10,1,11
ATP2A2,10,1,11
CSF2RA,9,2,11
ELF3,9,2,11
DLL4,5,6,11
IRF2BPL,7,4,11
VCP,8,3,11
ANAPC1,9,2,11
TGFBR3,9,2,11
MOG,5,6,11
MAP4K3,4,7,11
CD247,7,4,11
HLA-DRB1,3,8,11
MAF,5,5,10
ATG16L1,8,2,10
PRKAR1A,7,3,10
CISH,3,7,10
PTPRD,6,4,10
WNK1,6,4,10
WNT10B,2,8,10
MAP2K5,8,2,10
NR1I3,6,4,10
CDC27,10,0,10
MAP3K10,3,7,10
IL20RA,7,3,10
BTG1,5,5,10
TAOK2,2,8,10
SMARCC2,10,0,10
ETV6,6,4,10
PRC1,7,3,10
SCNN1A,9,1,10
SELP,9,1,10
FBP1,9,1,10
CD163,10,0,10
MAP3K20,3,7,10
IL7R,6,4,10
PRDX1,9,1,10
IRS4,6,4,10
HAND1,10,0,10
HCLS1,10,0,10
EREG,3,7,10
FANCM,4,6,10
FANCL,8,2,10
POU4F1,1,9,10
RASGRF1,6,4,10
CDKN2D,8,2,10
PDCD1,6,4,10
TUBA1A,9,1,10
SNTA1,6,4,10
EIF4G2,4,6,10
BGLAP,10,0,10
TACR3,2,8,10
E2F3,4,6,10
E2F6,3,7,10
CSNK1G3,0,10,10
CBX5,5,5,10
PPP2R2A,4,6,10
LHB,1,9,10
PIK3CD,9,1,10
SOX4,7,3,10
SLC2A1,10,0,10
MAPKAPK3,5,5,10
PARD3,8,2,10
SORT1,6,4,10
SORBS1,6,4,10
MKNK2,7,3,10
SPHK1,9,1,10
CD3D,8,2,10
CD3G,8,2,10
HSPG2,2,8,10
RPA1,6,4,10
WAS,10,0,10
FOSL2,8,2,10
RNF4,3,7,10
CD34,6,4,10
S100B,4,6,10
SCN1A,10,0,10
CDC37,9,1,10
EFNA3,1,9,10
BMP6,1,9,10
CHRM2,5,5,10
HMGCR,7,3,10
KRT1,8,2,10
NCSTN,5,5,10
GSN,5,5,10
CHD4,8,2,10
KSR2,3,7,10
IRF8,7,3,10
GHRH,0,10,10
MED1,6,4,10
ADIPOQ,5,5,10
NCK2,8,2,10
LAMA2,2,8,10
SPN,4,6,10
HSPB2,5,5,10
PA2G4,8,2,10
TRIO,6,4,10
APOC3,4,6,10
TNFRSF10B,7,3,10
DUSP4,4,6,10
ADCY6,9,1,10
CDC7,3,7,10
ONECUT1,5,5,10
OPRL1,4,6,10
XRCC1,8,2,10
COMP,2,8,10
XRCC5,5,5,10
NEO1,5,5,10
REST,6,4,10
REN,7,3,10
GP9,7,3,10
DUSP16,2,8,10
ACKR3,8,2,10
ABI1,8,2,10
ACTR2,6,4,10
EFNA2,2,8,10
THBD,10,0,10
RNF111,3,7,10
GSTP1,8,2,10
BAG3,9,1,10
ADRA2B,2,8,10
PIAS3,1,9,10
CSF3R,7,3,10
CD82,10,0,10
RALBP1,5,5,10
XPC,7,3,10
WWC1,8,2,10
GP1BA,8,2,10
MME,5,5,10
RYR2,10,0,10
SPRY2,6,4,10
NTRK3,5,5,10
INSL3,0,10,10
INSIG1,5,5,10
INPPL1,6,4,10
TAB2,7,3,10
SLC18A2,10,0,10
GZMB,1,9,10
NEFL,10,0,10
EEF2,10,0,10
GABPA,7,2,9
CASK,3,6,9
MYL12B,9,0,9
CASP10,5,4,9
PFKFB2,9,0,9
CHAT,9,0,9
CAMP,2,7,9
SH2B2,4,5,9
OLR1,6,3,9
DRD3,2,7,9
XRCC4,8,1,9
WNT6,0,9,9
WNT7B,1,8,9
DTX1,3,6,9
EWSR1,8,1,9
NOG,0,9,9
MMP12,0,9,9
PHOX2B,1,8,9
PIAS2,2,7,9
PIDD1,2,7,9
USP9X,4,5,9
LAMC1,1,8,9
UTS2R,1,8,9
DNMT3B,2,7,9
PTGER3,1,8,9
MSX1,4,5,9
TRPC6,8,1,9
IHH,1,8,9
HTR7,1,8,9
SCN11A,9,0,9
CDKN1C,9,0,9
PAX2,8,1,9
RFX5,2,7,9
EEF1A1,8,1,9
RAP1GDS1,0,9,9
IGF2R,7,2,9
MST1,5,4,9
DLC1,5,4,9
DLL1,5,4,9
ELF1,4,5,9
VIPR2,4,5,9
WDR62,4,5,9
UIMC1,7,2,9
EPHA8,8,1,9
GRPR,0,9,9
BMP10,1,8,9
EPS15,8,1,9
IGFBP4,6,3,9
SRSF7,8,1,9
ATG3,6,3,9
PREX2,5,4,9
MAFA,5,4,9
MAFB,7,2,9
TAP1,7,2,9
WNT3,1,8,9
OXT,8,1,9
KHSRP,6,3,9
CRHR1,5,4,9
SUZ12,1,8,9
LIMK2,7,2,9
CYBB,7,2,9
CCR4,8,1,9
JAG2,4,5,9
EPHA1,6,3,9
PARD6A,6,3,9
ALB,7,2,9
RAD18,7,2,9
HEY1,4,5,9
ADRA1A,1,8,9
LMNB1,9,0,9
TNKS1BP1,9,0,9
VDAC1,9,0,9
ACACB,9,0,9
FLCN,7,2,9
CYP7A1,9,0,9
SLC2A2,9,0,9
CLDN7,9,0,9
RAB3A,9,0,9
BSG,3,6,9
GRM1,4,5,9
SPEN,7,2,9
PPM1G,1,8,9
MAPK8IP2,1,8,9
SERPINA1,4,5,9
SIAH2,4,5,9
DHH,1,8,9
TUBA1B,8,1,9
CDON,6,3,9
PLN,8,1,9
TIE1,8,1,9
CCL8,4,5,9
MAP1LC3A,7,2,9
PASK,3,6,9
IL21,0,9,9
TEAD1,3,6,9
PFKFB3,9,0,9
CXCL5,4,5,9
FGF3,4,5,9
KSR1,6,3,9
IL15RA,3,6,9
CLK2,3,6,9
RDX,8,1,9
RECQL4,6,3,9
F2RL2,1,8,9
THRAP3,8,1,9
CIC,9,0,9
CLASRP,9,0,9
GJB1,9,0,9
LBR,9,0,9
KLF5,7,2,9
F7,7,2,9
CCR7,6,3,9
COL4A4,2,7,9
G6PD,9,0,9
LPP,9,0,9
HOXB1,5,4,9
FGF21,4,5,9
LTF,1,8,9
LPAR1,1,8,9
DEPTOR,8,1,9
DDB2,6,3,9
PDE3B,5,4,9
PDE4D,8,1,9
ITGAX,8,1,9
SRPK1,6,3,9
STIM1,8,1,9
SPTAN1,7,2,9
SYP,8,1,9
BIRC6,4,5,9
BCL2L2,6,3,9
SSTR1,3,5,8
CLASP2,4,4,8
BCLAF1,7,1,8
BLK,4,4,8
BIK,7,1,8
DHX58,0,8,8
ZMYM2,6,2,8
HLA-C,4,4,8
HLA-B,6,2,8
WNT9B,1,7,8
DEAF1,5,3,8
TYRO3,3,5,8
LPAR4,0,8,8
SKIL,3,5,8
SFRP1,2,6,8
ATP1A1,8,0,8
POLB,8,0,8
MXI1,5,3,8
LTB4R,3,5,8
GNG12,4,4,8
FGF13,0,8,8
HOXB13,4,4,8
LDHA,8,0,8
ASXL1,1,7,8
NUP214,5,3,8
EPB41,5,3,8
CDH3,7,1,8
IL11,4,4,8
NPFFR2,4,4,8
KLF2,3,5,8
CDC6,8,0,8
HOXC6,5,3,8
GAS6,5,3,8
HDLBP,4,4,8
LHCGR,8,0,8
CXCR1,8,0,8
KDM3A,4,4,8
PFN1,7,1,8
SHC3,7,1,8
SHANK1,4,4,8
SH3KBP1,3,5,8
CR2,6,2,8
NAMPT,4,4,8
KL,4,4,8
ADAM2,3,5,8
FGF4,2,6,8
ANLN,8,0,8
KRT19,8,0,8
INHBB,2,6,8
HTR1B,1,7,8
RNF168,6,2,8
SAA1,2,6,8
IL23R,4,4,8
BTF3,1,7,8
MBTPS1,1,7,8
RSPO3,0,8,8
UBE2D3,3,5,8
GDF11,1,7,8
PLK4,2,6,8
ALOX15,6,2,8
TIRAP,6,2,8
RGS2,3,5,8
PTPN18,3,5,8
SMC3,5,3,8
IDH1,8,0,8
TG,5,3,8
AKAP12,6,2,8
TRIM63,7,1,8
BRSK2,2,6,8
ARVCF,3,5,8
ANGPT2,6,2,8
MPL,6,2,8
PABPC1,5,3,8
MTNR1B,4,4,8
PROX1,4,4,8
BCL2A1,8,0,8
MPO,7,1,8
UNC13B,8,0,8
NEFM,8,0,8
PTP4A3,0,8,8
ERCC5,6,2,8
AXIN2,5,3,8
FKBP5,5,3,8
HHIP,5,3,8
HEY2,4,4,8
HTR2A,2,6,8
RAD21,4,4,8
RACGAP1,6,2,8
RGS19,5,3,8
GRK1,3,5,8
ICAM3,3,5,8
PRDM1,4,4,8
ATRIP,6,2,8
EMSY,7,1,8
PTPRK,2,6,8
OTX2,6,2,8
OTUB1,2,6,8
CD46,7,1,8
WNT11,2,6,8
GDF2,1,7,8
HCRTR2,1,7,8
WNT10A,1,7,8
MAFG,5,3,8
ATG4B,3,5,8
CD79B,6,2,8
PELI1,5,3,8
CD74,4,4,8
CD69,7,1,8
MATK,2,6,8
PRKAR2B,3,5,8
CRY2,7,1,8
CRY1,7,1,8
NPS,0,8,8
LPAR6,0,8,8
ARHGAP5,6,2,8
EFNA4,0,8,8
EPS8,6,2,8
CCL19,1,7,8
POU3F2,5,3,8
BMP1,1,7,8
CLU,4,4,8
VCL,4,4,8
ELF4,6,2,8
SDCBP,6,2,8
CHRNA7,4,4,8
CHRM3,2,6,8
ZFYVE9,5,3,8
TRPV5,6,2,8
CNTF,1,7,8
BAMBI,2,6,8
RETN,4,4,8
PSIP1,4,4,8
PAX7,4,4,8
AFP,8,0,8
CENPA,8,0,8
FANCA,8,0,8
BRIP1,5,3,8
CLDN2,7,1,8
MSX2,5,3,8
NDN,2,6,8
DOCK1,5,3,8
IL1RAP,6,2,8
IL19,0,8,8
AMFR,5,3,8
PLA2G2A,1,7,8
LAMC2,2,6,8
HLX,2,6,8
NTN1,0,8,8
NTF3,2,6,8
MYH10,8,0,8
GRIA4,8,0,8
RELN,5,3,8
GP1BB,5,3,8
HNRNPH1,6,2,8
PTPRR,3,5,8
USP8,3,5,8
TXK,5,3,8
UNC5A,6,2,8
USP1,4,4,8
WNT5B,1,7,8
RAP1B,7,1,8
TP53INP1,3,5,8
G3BP1,5,3,8
PLAGL1,3,5,8
DRAM2,1,7,8
RRAD,8,0,8
SP4,3,5,8
CR1,8,0,8
TNNT2,8,0,8
GAD2,8,0,8
NOX4,5,3,8
CCR10,8,0,8
GABBR1,6,2,8
TNFRSF14,4,3,7
CCAR2,4,3,7
CTHRC1,3,4,7
CTNNA1,6,1,7
FGF9,0,7,7
ANGPTL4,0,7,7
ANK1,5,2,7
BUB1B,6,1,7
GRB14,6,1,7
FANCI,6,1,7
CBX4,5,2,7
MINK1,2,5,7
PTMA,3,4,7
CDKN2C,4,3,7
PPBP,2,5,7
RCHY1,3,4,7
APPL1,4,3,7
TF,2,5,7
BCL9,5,2,7
BCOR,1,6,7
DDX21,5,2,7
LTA,2,5,7
FGF10,5,2,7
FGF11,0,7,7
COL4A5,1,6,7
COL4A6,1,6,7
COL5A2,3,4,7
POLH,6,1,7
ICAM2,4,3,7
MRTFA,5,2,7
GNB3,3,4,7
GNG2,3,4,7
MN1,5,2,7
BAZ1B,5,2,7
SMARCA2,4,3,7
CACNA1S,7,0,7
FGF12,0,7,7
LFNG,2,5,7
IFNLR1,5,2,7
RSPO1,0,7,7
RSPO2,0,7,7
ELMO1,5,2,7
TAOK1,2,5,7
TARDBP,4,3,7
ITGA11,6,1,7
KLF7,0,7,7
HERC2,4,3,7
HES5,3,4,7
FNTA,3,4,7
WNT16,2,5,7
CD55,5,2,7
APBB1,6,1,7
SMARCD3,5,2,7
CXCL13,1,6,7
PIK3AP1,3,4,7
MAZ,7,0,7
PENK,2,5,7
HTR1D,1,6,7
CAST,4,3,7
CAV2,6,1,7
CAV3,5,2,7
LAMA5,0,7,7
LAMB2,4,3,7
CAPN3,2,5,7
GPI,6,1,7
GPR35,1,6,7
ATF5,2,5,7
CPT1B,7,0,7
C1QBP,3,4,7
CLASP1,4,3,7
CLDN1,6,1,7
PSTPIP1,4,3,7
TRRAP,6,1,7
MAPK15,4,3,7
ATG13,4,3,7
TBX1,3,4,7
NSF,6,1,7
PREX1,6,1,7
RBX1,1,6,7
EGLN2,5,2,7
HGS,4,3,7
PPP2R5A,4,3,7
SLPI,2,5,7
RANGAP1,7,0,7
NUP153,4,3,7
TCF12,5,2,7
ALDH2,6,1,7
RAD17,5,2,7
CFH,1,6,7
BACE1,6,1,7
PRRX1,1,6,7
IGFBP5,4,3,7
HUWE1,3,4,7
ARHGDIB,3,4,7
CDC34,6,1,7
ARHGDIA,5,2,7
ZEB2,4,3,7
YWHAE,3,4,7
MCM3,7,0,7
MCM4,7,0,7
MCPH1,2,5,7
SND1,4,3,7
TET2,5,2,7
WWP1,2,5,7
DDB1,4,3,7
IFNGR2,4,3,7
RALA,4,3,7
TYMP,4,3,7
FAF1,6,1,7
MAML2,2,5,7
DOT1L,0,7,7
FRZB,0,7,7
UNC5B,4,3,7
UNC5D,6,1,7
POLA1,7,0,7
AGRN,2,5,7
UPF1,7,0,7
DSP,6,1,7
NES,6,1,7
FH,6,1,7
TPR,5,2,7
INPP5D,4,3,7
TUBB,5,2,7
TNFRSF11A,3,4,7
POU2AF1,1,6,7
DUSP5,4,3,7
KMT2D,5,2,7
PRNP,6,1,7
RIMS2,3,4,7
GPHN,6,1,7
CLTC,7,0,7
AMER1,0,7,7
IL1R2,3,4,7
CCL21,0,7,7
RHOC,3,4,7
RHOQ,4,3,7
BMF,3,4,7
BMP15,0,7,7
ESPL1,5,2,7
CCL16,0,7,7
CCL20,2,5,7
ADRA1B,2,5,7
GAL,4,3,7
FRAT1,4,3,7
ACTC1,7,0,7
GTSE1,6,1,7
RGMB,4,3,7
RAB7A,2,5,7
MAPRE1,7,0,7
CCDC6,7,0,7
CFB,7,0,7
PTBP2,4,3,7
MUC4,6,1,7
PAFAH1B1,3,4,7
ESRRG,5,2,7
WASF1,7,0,7
CYP17A1,7,0,7
PCBP1,6,1,7
PCBP2,5,2,7
MLXIPL,4,3,7
SAR1A,1,6,7
BMP8A,0,7,7
SLC5A5,7,0,7
AGO2,7,0,7
CHRM5,0,7,7
IL20RB,4,3,7
ALDOB,7,0,7
TRA2B,7,0,7
SIRT6,2,5,7
CACNA1B,7,0,7
SMC1A,7,0,7
IL12RB1,5,2,7
SCARB1,4,3,7
GRIN1,7,0,7
PLA2G1B,7,0,7
HOXC8,5,2,7
KLF10,5,2,7
KLF11,0,7,7
SHB,4,3,7
CD22,5,2,7
IKZF1,7,0,7
MXD1,6,1,7
ELK4,6,1,7
LY96,4,3,7
PLCB2,5,2,7
EXO1,7,0,7
DGCR8,6,1,7
KCNMA1,7,0,7
SMAD9,6,1,7
TAB3,5,2,7
SHOC2,4,3,7
SRPK2,5,2,7
RAD50,4,3,7
RAI1,2,5,7
MSH6,6,1,7
MAOB,7,0,7
CRTC1,7,0,7
PSMD4,7,0,7
KIF23,7,0,7
FOXH1,1,6,7
PHLPP2,0,7,7
EPHA10,6,0,6
TNFRSF25,3,3,6
TNFSF11,2,4,6
CXCL6,1,5,6
CTNNA2,5,1,6
ABCC1,6,0,6
SH2B3,3,3,6
SLC12A3,4,2,6
TNPO1,1,5,6
CELF1,5,1,6
PPFIA1,5,1,6
SENP1,0,6,6
IFNA2,1,5,6
GRIA2,6,0,6
PDCD4,6,0,6
CYBA,6,0,6
FOXC1,3,3,6
STING1,5,1,6
PDE4B,5,1,6
IFNL1,2,4,6
RFC1,6,0,6
DDX3X,3,3,6
CCNA1,3,3,6
MYL12A,6,0,6
TFAM,5,1,6
TLE1,3,3,6
HLA-DQA1,2,4,6
HLA-DMB,3,3,6
TNS1,5,1,6
CADM1,4,2,6
XPO1,3,3,6
YBX3,3,3,6
HLTF,3,3,6
NKX3-2,1,5,6
AGRP,2,4,6
LGALS9,0,6,6
MAML3,2,4,6
TXNIP,4,2,6
RAN,5,1,6
RALGDS,3,3,6
NCOA4,1,5,6
ARPC5,3,3,6
SUN1,4,2,6
CREB3L1,4,2,6
PTPN9,0,6,6
LPAR5,0,6,6
ARHGEF1,5,1,6
ZYX,5,1,6
TRPM7,1,5,6
DOK2,5,1,6
HOXA11,4,2,6
H4C6,4,2,6
ARF6,3,3,6
SEMA3A,0,6,6
PTPA,1,5,6
ABCC2,6,0,6
SRSF5,6,0,6
COL5A1,1,5,6
THRSP,0,6,6
DSG1,4,2,6
PSMD2,6,0,6
PYY,0,6,6
ADRA2C,0,6,6
HTR2B,1,5,6
MLH1,5,1,6
TCF7,3,3,6
EIF2A,5,1,6
INSIG2,3,3,6
TPO,4,2,6
MYL2,4,2,6
STK38L,4,2,6
NODAL,0,6,6
FHOD1,5,1,6
SLC10A1,6,0,6
LEFTY2,3,3,6
MS4A1,5,1,6
MPZ,4,2,6
FKBP1A,0,6,6
ICOSLG,3,3,6
SFSWAP,6,0,6
SEPTIN5,6,0,6
SEC24B,6,0,6
MKI67,6,0,6
PIM3,1,5,6
IL13RA1,3,3,6
TRIM33,2,4,6
TRIM24,4,2,6
KCNB1,5,1,6
KAT7,5,1,6
LYL1,3,3,6
PRKAG1,4,2,6
GPC4,1,5,6
GP5,3,3,6
ASGR1,6,0,6
PROKR1,5,1,6
PDYN,2,4,6
NHLH2,3,3,6
TAGLN,6,0,6
DST,6,0,6
TLR6,4,2,6
TLR5,2,4,6
CDCA5,5,1,6
CYP2B6,6,0,6
AQP4,6,0,6
DRD4,1,5,6
MTF1,2,4,6
HLA-F,6,0,6
ROBO1,6,0,6
CTR9,6,0,6
SHANK3,1,5,6
SIX3,4,2,6
FGF19,1,5,6
ING4,1,5,6
CEP43,5,1,6
CACNB2,6,0,6
XRN2,6,0,6
CTDSP1,0,6,6
CACNG2,6,0,6
CDH4,2,4,6
CLK1,0,6,6
UNG,6,0,6
PLSCR1,6,0,6
TUBA4A,6,0,6
TYMS,6,0,6
AGAP2,6,0,6
GPER1,0,6,6
GABRG2,6,0,6
HEXIM1,4,2,6
KREMEN1,5,1,6
OSR1,3,3,6
OSMR,2,4,6
BRD3,5,1,6
RAB5A,3,3,6
MTTP,5,1,6
LIG1,6,0,6
IL1RN,3,3,6
AMH,2,4,6
RRAS,5,1,6
MBTPS2,1,5,6
SCAF11,5,1,6
ENPP1,5,1,6
C4A,1,5,6
TBX5,1,5,6
CCL28,1,5,6
IDO1,0,6,6
TBC1D4,5,1,6
FCGR2B,4,2,6
FBXO31,4,2,6
GABARAP,4,2,6
ERRFI1,4,2,6
BMP3,0,6,6
NFX1,2,4,6
CCDC88A,6,0,6
TLE5,0,6,6
TAOK3,2,4,6
IL9,0,6,6
IL5,1,5,6
PPP6C,0,6,6
SIRT3,2,4,6
RFWD3,3,3,6
STAM2,6,0,6
NPHS1,6,0,6
FOXO6,4,2,6
EPHB6,5,1,6
EPHB4,4,2,6
MZF1,3,3,6
ATG9A,5,1,6
KTN1,2,4,6
PLXNB1,3,3,6
PLXNA1,5,1,6
ALDH1A1,6,0,6
ETV4,4,2,6
IL22RA1,3,3,6
IL21R,3,3,6
MAP4K2,2,4,6
NOX5,5,1,6
ACAT1,3,3,6
MVD,2,4,6
PTCH2,3,3,6
LILRB3,6,0,6
STX1A,6,0,6
MYH2,6,0,6
GIGYF2,5,1,6
DYNLL1,3,3,6
IRF4,4,2,6
GNG4,3,3,6
MGMT,6,0,6
RGS16,6,0,6
HK1,6,0,6
CYP3A4,6,0,6
ENAH,6,0,6
CRABP2,6,0,6
AIMP1,2,4,6
PIK3C2A,3,3,6
PER3,5,1,6
GPR183,1,5,6
CXCL3,1,5,6
BOC,5,1,6
BNIP3L,4,2,6
HSD3B2,6,0,6
PTH2R,6,0,6
WNT2B,1,5,6
GFRA1,3,3,6
LAMB3,0,6,6
LAMA4,2,4,6
IRF2,2,4,6
APOA2,2,4,6
RAMP1,6,0,6
SNRNP70,6,0,6
MPG,2,4,6
NEUROG1,6,0,6
DSG4,6,0,6
ASAP2,2,4,6
ASAP1,3,3,6
AMOT,4,2,6
LAMA3,2,4,6
CASR,5,1,6
RORC,3,3,6
RNF41,3,3,6
PELP1,4,2,6
FZD10,6,0,6
KIF2C,6,0,6
TICAM2,4,2,6
UBE2D2,1,5,6
GABRB2,5,1,6
GABARAPL2,5,1,6
KCNJ1,6,0,6
CIT,4,2,6
PCSK1,4,2,6
KCNIP3,3,3,6
CASP5,3,3,6
FGF5,1,4,5
SLIT1,1,4,5
BTLA,2,3,5
TFCP2,4,1,5
GREB1,3,2,5
PCM1,1,4,5
CDR2,0,5,5
RBBP7,2,3,5
EIF5B,5,0,5
H2BC14,5,0,5
FGF6,0,5,5
FGFBP1,3,2,5
KIF4A,4,1,5
FOXE1,0,5,5
TET1,2,3,5
SRGAP3,1,4,5
SNCB,4,1,5
PKIA,3,2,5
WWOX,3,2,5
WNT9A,0,5,5
XRCC3,3,2,5
AANAT,3,2,5
PSMA5,4,1,5
DDIT4,4,1,5
ZMIZ1,1,4,5
UCHL5,1,4,5
GNGT1,2,3,5
DEK,4,1,5
ATP2B1,5,0,5
CD3E,4,1,5
CD2AP,4,1,5
SAP30,4,1,5
ETV5,4,1,5
DECR1,5,0,5
ARID5B,0,5,5
KLF15,3,2,5
GRM4,4,1,5
APOC2,1,4,5
APOA5,4,1,5
APH1A,1,4,5
BIN1,5,0,5
MTSS1,2,3,5
MOB1B,3,2,5
PBRM1,2,3,5
SETD2,1,4,5
ANP32A,3,2,5
EPS15L1,5,0,5
SAT1,5,0,5
DCT,5,0,5
SPON2,0,5,5
DROSHA,5,0,5
SERPINB5,5,0,5
RRM1,5,0,5
LGR4,5,0,5
AKAP1,4,1,5
AIP,2,3,5
PIK3R3,3,2,5
ATG10,3,2,5
PNCK,2,3,5
FNBP1,5,0,5
KLF16,4,1,5
GDF9,0,5,5
ITGA10,3,2,5
RPL11,0,5,5
C1QA,3,2,5
KLC1,5,0,5
HOXA1,5,0,5
PTGER1,0,5,5
PSMC3IP,0,5,5
GIPC1,0,5,5
FOSB,4,1,5
PHGDH,5,0,5
IRAK2,5,0,5
CCR6,5,0,5
MFN2,5,0,5
SLC25A4,5,0,5
COL4A2,2,3,5
GAS1,4,1,5
HDGF,3,2,5
HMGB2,1,4,5
HMGA2,2,3,5
EPN1,3,2,5
CMA1,2,3,5
MYT1,3,2,5
NRG2,0,5,5
DKK3,1,4,5
IL23A,2,3,5
IL22,0,5,5
NFE2,3,2,5
MAP4K5,3,2,5
TGIF1,2,3,5
RNF139,1,4,5
PRKX,1,4,5
IFNL2,1,4,5
HAVCR1,4,1,5
TBL1XR1,2,3,5
GRIN2C,4,1,5
EYA1,2,3,5
NFKBIE,3,2,5
JMJD1C,2,3,5
FABP4,5,0,5
EFS,5,0,5
TLK1,2,3,5
IL9R,3,2,5
IL3RA,3,2,5
PGK1,3,2,5
PGF,2,3,5
KDM3B,0,5,5
EGLN3,0,5,5
JARID2,0,5,5
BRAP,2,3,5
CCL26,0,5,5
CCL25,0,5,5
TRPM2,5,0,5
AMBP,1,4,5
MCF2,2,3,5
SCGB1A1,4,1,5
SCAP,3,2,5
ADCY2,5,0,5
ADCY9,5,0,5
ADCY7,5,0,5
CCL3L3,1,4,5
NPFFR1,1,4,5
TBX2,1,4,5
LGALS1,2,3,5
KLC2,4,1,5
CD209,3,2,5
BUB3,5,0,5
CLK4,0,5,5
GAST,3,2,5
DLL3,1,4,5
SETDB1,4,1,5
C1R,5,0,5
KIRREL1,5,0,5
FYB1,5,0,5
CNN1,5,0,5
ACE2,4,1,5
PYGL,5,0,5
HTR1E,1,4,5
KRT14,3,2,5
KMT5A,4,1,5
DLX3,3,2,5
DLX2,2,3,5
TLR1,3,2,5
CDC73,2,3,5
PPP2R5D,4,1,5
ATP1B1,5,0,5
SUPT5H,5,0,5
DYNC1LI1,5,0,5
RAB1A,3,2,5
RAB11A,2,3,5
DAGLA,5,0,5
ADCY3,5,0,5
AQP1,5,0,5
GYS2,5,0,5
ERCC8,0,5,5
TRIB2,4,1,5
KAT6A,1,4,5
FLII,5,0,5
EIF4ENIF1,5,0,5
